i
you
the
it
me
to
and
a
my
do
love
in
like
that
yeah
on
na
your
we
so
just
all
got
oh
but
what
know
be
is
up
for
come
baby
now
no
this
take
of
wan
boy
bum
go
way
let
with
out
get
can
one
feel
music
see
how
ca
if
make
when
at
life
work
have
stop
where
hard
want
never
why
not
girl
only
please
night
used
ai
la
there
need
away
here
more
say
too
tell
gon
back
better
right
heart
good
ooh
down
bright
was
time
they
money
are
been
give
about
shine
wo
turn
still
survivor
ay
gone
diamond
eh
talk
nothing
from
said
think
around
into
mind
put
he
bitch
run
these
name
dj
even
brrap
move
who
could
always
really
ta
care
ya
keep
hope
us
without
off
hold
beautiful
man
american
woo
over
some
world
kiss
rihanna
feeling
sky
ah
babe
then
tonight
she
than
bad
nobody
cake
drive
diamonds
will
dance
california
her
silly
new
as
ever
face
lie
throw
long
had
little
hurt
breathe
looking
play
late
loving
by
watch
light
sure
cause
hey
did
would
learn
much
live
inside
dirt
ella
stand
ready
drink
hear
show
knows
forever
him
thinking
every
should
hate
found
place
under
fuck
because
everything
lost
skin
reason
enough
close
something
someone
things
easy
home
m
losing
stay
pon
shit
mama
once
going
king
eye
hands
everybody
getting
cry
through
uh
dark
alive
oxygen
alone
ride
eyes
s
sex
thought
call
rum
wrong
may
came
leave
apart
again
rude
floor
rockin
hopeless
last
best
must
shots
mean
other
brown
chris
day
america
affection
stupid
willing
chest
left
die
high
tryna
another
broken
disturbia
amo
te
stars
two
break
pull
big
umbrella
sun
three
touch
understand
dream
ball
people
disease
stress
thousand
feels
look
goin
trigger
pour
our
hand
end
done
shake
wishing
body
send
myself
wish
felt
goes
finally
amazing
an
maybe
days
fading
acting
livin
top
rehab
guess
refuse
escape
hit
room
hurts
needed
anymore
them
somebody
am
before
ner
told
cuz
his
try
mirror
same
rest
saying
gyal
today
explode
bed
pay
sometimes
mine
standing
round
door
thing
heard
miles
start
mi
raining
shut
were
verse
knew
treat
tellin
trying
brand
party
gave
side
rise
shooting
though
well
seems
waiting
shot
burn
fall
sorry
hurting
between
took
together
okay
wow
takes
control
crazy
chorus
emergency
complicated
mistakes
peace
song
paper
old
club
owe
nigga
ten
saw
first
clothes
both
happy
air
lose
brain
niggas
tryin
star
dome
lights
rhythm
help
wantin
replay
de
game
running
louis
making
ask
leaving
moving
deep
shining
future
believe
dumb
might
hair
boom
station
matter
tried
rollin
huh
act
nuh
its
rain
longer
soul
option
person
behave
victim
chasin
hoes
sitting
yayo
yes
everywhere
own
beat
waist
heartbeat
times
after
til
fight
story
guy
type
whats
white
ow
sight
black
alarmed
fancy
each
dancing
sound
whenever
impress
outta
yuh
granted
rescue
boys
darling
handle
haters
far
killin
lord
whatever
coming
drop
whole
while
asking
or
city
different
check
checked
blame
made
next
understands
command
doin
pride
shinin
beating
breath
find
push
smoke
smell
quite
head
walk
swear
figure
enter
window
downtown
central
makes
turned
started
keeps
beats
fire
chance
keys
distance
friend
wait
rock
ohh
ahhh
sleeping
photographs
tighter
falling
signs
jeans
heels
bar
calling
feelin
luck
phone
forgot
suicide
hmm
five
fake
bet
giddy
using
gettin
wrist
forget
thinkin
means
test
twice
excite
whips
chains
bones
stones
sticks
perfectly
line
sweat
else
talkin
grab
curtains
cut
house
outside
very
cheek
searching
point
hot
word
dem
gim
happened
criminal
arm
reach
cool
crowd
front
behind
sleep
taste
fighting
soon
against
wake
has
part
stick
cars
fly
pictures
share
use
morning
does
gets
pulling
ghost
